boli,simptome
Sindromul Waterhouse-Friderichsen,"""febră, șoca, septic, coagulare, vascular, diseminate, tahicardia, oboseala, anorexi, greață, vărsătură, placă, purpuric, confluent, hiponatremie, hipoglicemie, acidoză, metabolica"""
Sindromul Wellens,"""angină, pectoral, durere, retrosternal, presiune, nitroglicerină, precordial"""
Sindromul Widal (Triada Samter),"""Polipoză, nazal, bronșic, intoleranță, la, aspirină, congestie, apos, infecție, respirator, viral, miros, Criză, de, astm, tip, expirator, obstrucție, conjunctival, hiperemie, edem, periorbital, durere, abdominal, cronic"""
Sindromul Williams,
Sindromul Winchester,"""Osteoliză, multicentric, Osteopenie, Afectare, oasă, carpian, tarsian, cornee, buză, gură, gingival, piele, Colorație, maroniu, tegument, pilozitate, Noduli, subcutana, modificare, inflamatoriu, articular, durere, simetric, bilateral, articulație, interfalangian, metacarpofalangen, mobilitate, articulară, palpare, Deformare, al, încheietură, degeta, picior, tars, metatars, degenerativ, osteolitic, corp, vertebral, Atrofie, țesut, spongios, corticală, osos, Subțiere, Metafize, Epifiză, membrană"""
Sindromul Wiskott-Aldrich,"""Trombocitopenie, trombocită, echimoză, piele, mucoasă, oral, Sângerare, traumatism, minor, Eczemă, cutanat, eritematos, sensibil, infecție, boală, autoimun, recurent, pneumonie, sepsis, meningită, viral, sever, Herpes, Paloare, anemie, hemolitic, Hemoragiu, digestiv, hematemeză, melenă, sângerare, nazal, sânge, urină, anomalie, al, membrană, timpanic, de, tract, limfom, hemoragie, intracranian"""
Sindromul Wolf-Hirschhorn,"""retard, mental, glabea, Asimetrie, craniana, cap, microcefalie, oasă, cutie, cranian, Glabelă, Hipertelorism, nas, Strabis, Colobomă, optic, pleoapă, Pupe, ectopic, palatină/labial, Micrognație, mandibulă, subdezvoltat, dinte, Ureche, pierdere, auz, neurosenzorial, defect, de, sept, atrial, ventricular, anomalie, al, valvă, cardiace, Hipoplazie, pulmonar, secundar, hernie, diafragmatic, Hernie, ombilical, vezică, biliar, diafragmatica, hipoplazice, organ, genital, extern, Hipoplazia, uter, agenezie, vagin, cervix, SNC, deget, toracic, pubian, vertebră, coastă, avemuscula, infecție, imunoglobulină, întârziat, Placentă, hipotrofic"""
Sindromul Wolff-Parkinson-White (WPW),"""Tahicardie, supraventricular, Palpitație, Dispnee, durere, precordial, Poliurie, presiune, venos, Crepitantă, pulmonar, insuficiență, cardiac, prelungite/insuficiență, anxietate"""
Sindromul Wyburn-Mason,"""orbire, defect, vizual, Hemoragiu, retinian, al, corp, vitros, detașare, de, retină, Ocluzie, venos, edem, disc, optic, nerv, Proptoza, Exoftalmie, proeminentă, ocular, malformație, orbital, pulsate, Neuropatie, cranian, AVC, vărsătură, Retarde, mental, disfuncție, cerebral, Sindrom, Parinaud, paralizie, sânge, urină, sângerare, nazal, hemoragiu, Sângerare, sever, gingie, amigdală, Paralizie, nervu, facial, Nistagmune, Strabism, divergent, convergent"""
Tumorile pulmonare,"""tumoare, persistent, hemoptizie, sânge, insuficiență, respiratoriu, inexplicabil, benign, pneumonie, malign, durere, piept, infecție, pulmonar, Fatigabilitate, degetu, disfagie, odinofagie, răgușit"""
Tumorile sclerei,"""Scleri, recidivant, fibrosarcom, tulburare, de, motilitate, ocular, nodular, durere, chist, tumoră, rotund, sclerocornean, dermoid, tumoare"""
Tumorile spinale,"""anomalie, al, coloană, vertebral, durere, de, cervical, neurologic, spate, braț, picior, nervos, deformare, curbură, scolioză, oboseala, amorțeală, intestin, urinar, tonus, muscular, picioar"""
Tumorile stromale gastrointestinale (GIST),"""durere, abdominal, greața, vărsătură, senzație, de, plenitudine, pierdere, sânge, tract, gastrointestinal, melenă, hematemeză, oculta, anemie, oboseală, inimă, crampă, muscular, obstrucție, intestinal, meteorism, Disfagie, Constipație, ampulă, lui, Vater, perforație, anormal, inflamație, ulcerare, hemoragie, necroz, mucoasă, formațiune"""
Tumorile testiculare (cancerul de testicul),"""testicul, durere, testicular, hemoragie, metastază, Dispnee, vărsătură, sindrom, de, hipertensiune, arteră, spermatic, inghino-scrotal, tumoare, Ginecomastie, bilateral, celulă"""
Tumorile vezicii biliare,"""durere, abdominal, hipocondru, drept, Astenie, Fatigabilita, Subfebrilita, Anorexie, greața, Icter, colestatic, îngălbenire, tegumentă, scleră, mucoasă, urină, colecist"""
Tusea convulsiva,"""Răgușeala, febră, spasmodic, Conjunctivită, Expectorație, vâscos, Voma"""
Tusea convulsiva,"""persistent, dispariție, vărsătură, febră, secret, nazal, paroxistic, distensie, venă, jugular, ocular, tulburare, somn, nocturn, rezidual, sânge"""
Tusea cronică,"""vărsătură, tuse, emetizant, tulburare, de, somn, Incontinență, urinar, glotă"""
Tusea la copil,"""acut, cronică, stridor/respirație, convulsiv, paroxistic, tuse, răceală, comună, Subfebrilitate, nocturn, diurna, sindrom, febril, febră, Fatigabilitate, oboseală, vărsătură, persistent, habitual, productiv, pneumonie, hemoptoic, fibroză, chistic, laringian, bitonal, perete, toracic, de, penetrație, Hipocratism, digital, degeta, Retracție, costal"""
Escarele (ulcerele de decubit/ulcerele de presiune),"""intact, piele, Deteriorare, epiderm, derm, pustulă, țesut, adipos, cu, aspect, de, crater, mușchi, tendoană, oasă, mort"""
Ulcer aftos,"""senzație, de, arsură, leziune, buză, durere, potențata, alimente/fruct, acid, poftă, mâncare"""
Ulcer peptic (gastric si duodenal),"""durere, epigastrica, senzație, de, arsură, epigastric, erodare, ulcer, piloric, greața, vărsătură, sever, duodenal, piept, exacerba, cu, sânge, hematemeză, melenă, Anorexie, poftă, mâncare"""
Ulcer varicos,"""leziune, tegumentare, ulcerativ, superficial, membră, inferior, maleolă, medial, gambă, urât, eritem, perilezional, înroșire, piele, durere, local, Crampă, muscular, membru, pruri, tegumentar, Hiperpigmentare, zonă, Ectazie, venos"""
Ulceratiile organelor genitale,"""Ulcerație, genital, herpes, dureros, Adenopatie, inghinală, leziune, nedureros, sifilis, cronic, herpetic"""
Ulcerația Buruli,"""leziune, papular, nodular, subcutanat, ulcerație, cu, contur, neregulat, adânca, Afectare, frecvent, membru, inferior, febră, Limfadenopatie"""
Ulcerele diabetice (mal perforant plantar),"""Ulcerație, deget, degeta, sensibilitate, Parestezie, amorțeală, senzație, durere, Anhidroza, Claudicație, intermitent, francă, picior, oboseală, coapsă, slăbiciune, infecție, suflu, arterial, iliac, femural, cutana, gambă, Cianoza, ischemica, reflexă, tendinos, gleznă, calus, Deformare, structural, deformare, metatarsian"""
Ulcerele intestinului subtire si gros,"""durere, Hemoragie, digestiv, inferiorî, intestinala, Perforație, intestinal, gastro-intestinală, acut, cronic, tulburare, de, tranzit, senzație, evacuare, sensibilitate, stâng, inferior, anal, zonă, rectal, mucoasă, hiperemica, perete, anterior, polipoidă, perforație, sindrom, malabsorbtie, enterită, ulcerativa/bol, celiac, Cașexie, splenica, vărsătură, ocluzie, distensie, protrombină, electrolitic, caroten"""
Ulcerele venoase,"""derm, epiderm, Ulcerație, tumefia, piele, țesut, subiacent, indurativă, durere, puternic, ulcer, nedureros, diabetic"""
Ulcerul aortic,"""durere, toracic, retrosternal, posteriura"""
Ulcerul perforat,"""durere, puternic, episod, Paloare, respirație, superficial, pneumoperitoneu, viu, Amilazeeu"""
Ulcerul vulvar acut,"""ulcer, dureros, dificultate, de, micțiune, leziune, bilateral, ulcerație, Afectare, vagin, uratră, Afte, bucal"""
Unghia incarnata - onicocriptoza,"""durere, sensibilitate, sânge, infecție, mărgine, palpare, crustă, Hipertrofie, margine, unghial, epiderm, eritem, sensibilitată, cronică, țesut"""
Urechea conopidă,"""Malformație, ureche, durere, hematom, colecție, de, sânge, piele, cartilaj, traumatism, sever, cap, vedere, încețoșa"""
Ureterocelul,"""tulburare, mictional, obstructiv, incontinenta, urinr, infecție, litiază"""
Ureterul retrocav,"""obstrucție, ureteral, urinar"""
Uretrita la bărbați,"""durere, disurie, pruri, uretral, hematurie, dureros"""
Uretrita la femei si sindromul uretral,"""Disurie, tulburare, micțional, Piurie, urină, celulă, inflamatorii-leucocit, Micțiune, dureros, Herpes/Candida, durere, suprapubian, arsură, Cervicită, mucopurulent"""
Uretrita negonococica,"""Disurie, durere, arsură, inflamație, prepuț, Asimptomatic, pelvină, sângerare"""
Urofilia,"""urină, urin"""
Urticaria acvagenică,"""leziune, pruri, senzație, de, arsură, furnicătură, amețeală, cefalee"""
Urticaria cronica,"""papul, edematos, mâncărime, intens, leziune, placă, palid, oval, inelar, pigmentar, umflături, piele"""
Urticaria la presiune,"""leziune, urzicăt, pruritic, mâncărime, dureroate, senzație, de, arsură, picior, organ, genital, angioedem, tumefiere, profund, dermic, subcutanat, oboseală, durere, cap, Artralgiu, generalizat, articulare, urticarie, cronică, idiopatic, dermatografism"""
Urticaria si angioedemul,"""mâncărime, Umflăt, piele, urticarie, angioedem, edem, sever, durere, local, zonă, umflat, senzație, de, căldură, dificultate, respirație, Disfagie, ochi, picior, organ, genital, extern, gât, baie, colinergică"""
Urticarie solara,"""papul, edem, soare/lumină, artificial, greață, leziune, ace, bronhospasm"""
Uter retrovers (retroversie uterina),"""dispereuni, durere, crampe, uterine, disfuncție, colon, teneasmă, constipație, incontinenta, retenție, urinar, vaginala, pelvină, cronică, sindrom, tulburare, menstrual, sensibilitată, uterin, cervix, hipermobil, Allen-Masters"""
Uveita,"""durere, ocular, uveită, anterior, erite, Fotofobie, Lacrimare, excesiv, vedere, cronic, intermediar, uveit, intermediară, fotofobia, conjunctivă, bulbar, Precipitate, keratic, edem, al, stromă, cornean, proteină, celulă, inflamator, boală, Behcet, infecție, posterior, iridociclită, Atrofie, sectorială, iris, lenticular, vitros, Mioză, pupilara"""
Uveitele pediatrice,"""hiperemie, ocular, roșeață, ochi, durere, globu, vedere, încețoșa, uveită, pierdere, de, cap"""
Uvulita,"""durere, gât, uvulă, umflăt, dificultate, infecție"""
Vaccina,"""vezic, Tegument, înconjurător, congestionat, eritematos"""
Vaginismul,"""mușchi, vagin, spasm, involuntar, musculatură, durere, contractură, spastic, inferior, suferință"""
Vaginita,"""pruri, vaginal, Iritație, durere, sângerare, scurgere, leziune, hiperemic, papilare, impotență, funcțional, de, consistență, grăsos, peteșial, secreție, hemoragic, vaginită, atrofic, Mucoasă, vaginală, echimoză, escoriație, erupție, vezicular, febră, muscular, herpes"""
Vaginita atrofica (atrofia vaginala),"""Uscăciune, vaginal, senzație, de, arsură, debacl, galben, Disurie, durere, Incontinență, stres, sânge, urină, sângerare, după, act, Ulcerație, vagin, mucoasă"""
Vaginita bacteriană cu Gardnerella vaginalis,"""de, prurit, arsură, durere"""
Vaginoza bacteriană,"""scurgere, vaginal, perete, regiune, arsură, local, disurie, dispareuni, eritem, mucoasă, fornix, hidroxid, potasiu, celulă, epitelial, granular, examen"""
Valvele uretrale posterioare,"""disurie, globel, obstrucție, sever, ureterohidronefroza, infecție, urinar, sepside"""
Valvulopatiile,"""Dispnee, de, efort, ortopneu, paroxistic, nocturn, durere, toracic, angină, Fatigabilitate, oboseală, edem, pulmonar, lichid, Edemă, gambiere, picior, periferic, sânge, aritmie, atrial, ventricular, inimă, ficat, splină, cap, endocardită, muscular, articular"""
Valvulopatiile la femeia însărcinată,"""insuficiență, cardiace, Fatigabilita, congestie"""
Varice esofagiene,"""Hemoragie, digestiv, hematemeză, vărsătură, cu, sânge, Slăbiciune, Anorexie, poftă, de, mâncare, greața, durere, epigastrica, hipocondru, drept, îngălbenire, piele, ochi, picior, distensie, abdominal, balonare, abdomen, encefalopatie, hepatic, intelectual, pierdere, memorie, impotență, Disfuncție, sexual, Crampă, muscular, Paloare, anemie, post-hemoragic, tensiune, arterial, hipotensiune, glandă, parotide, Cianoza, colorație, albăstrui, limbă, buză, Dispnee, respirație, deget, Ginecomastie, eritem, palmar, fica, Splenomegalie, splină, testiculara"""
Varice la copii,"""permanent, venă, picior, durere, umflare, ulcerație, cutanat, sângerare"""
Varicela (vărsat de vânt),"""leziune, tegument, erupție, vezicular, vezic, membru, crusta, mâncărime"""
Varicele,"""senzație, membru, inferior, Crampă, nocturn, arsură, intoleranță, picior, durere, oboseală, gambă, surd, Pigmentare, piele, Lipodermatoscleroză, modificare, Van, varicos, reticulare, venă, albastru, varic, subdermic, steluță, vascular, Eczemă, dermatită, eritematos, vezic, erupție, cicatriceal, alb, atrofic, Coronă, intradermic, ulcer, venos, gleznă"""
Varicocel,"""Ectazie, anormal, venă, testiculă, testic, durere, scrotala, de, lung, crampă, testicul, Atrofie, Venă"""
Variola,"""febră, severa, durere, al, coloană, vertebral, greața, vărsătură, membrană, limbă, ombilicat, Cicatrică, cutanat, halucinație, delir, depresie, psihoză, personalitate, bipolar, Pustulă, dureros, ocular, Ulcerație, cornean, leziune, braț, picior, cutana, abdominal, sever"""
Varsaturile (emeza," voma),""stomac, greață, vărsătură, iminent, durere, emeză, vomă, muscular, abdominal, hematemeză, sânge, bilă, roșu, cheag, singerar, profundă, epigastric, somnolență, excesiv, de, cap, letargie, confuzie, febră, palpitație"""
Vasculita,"""febra, Purpură, Eritema, Nodulă, subcutanat, ulcer, digital, Gangrena, Ulcerație, genital, Mialgie, Miozita, Artralgi, Artrita, Mononevrita, atace, cerebral, reducere, acuitate, vizual, Infarct, miocardic, edem, al, membru, inferior, sângerare, nazală, sânge, hemoptizie, Infiltra, pulmonar, Dispnee, durere, cu, sensibilitate, pulmona, Zgomotă, intestinal, Glomerulonefrita, sindrom, Churg-Strauss, boală, Kawasaki, Nodul, ulcerare, cutanat, poliarterită, nodosă"""
Vasculita nodulara (boala Bazin),"""erupție, nodular, membru, inferior, cronic, picioar, Nodulă, palpare, gambă, leziune, ulcerație, cicatric, edem, al, picior, afectare, rar, trunchi, coapsă, Ulcerație, neregulat, superficial"""
Vasculitele pulmonare,"""nespecific, infecție, boală, al, țesut, conjunctiv, sindrom, Churg-Strauss, eozinofilă, sânge, febră, vas, afectare, pulmona, renal, Granulomatoza, Wegener, sinusure, nazal, piele, abdominal"""
Vasculopatia livedoida,"""leziune, violacee, reticularis, picior, papul, purpuric, dureros, gleznă, cianoză, membru, ulcerație, recurent, picioar, ulcer, superficial, cicatrici, atrofie, alb, lipodermatoscleroză"""
Vărsăturile la copil,"""vărsătură, aton, suc, gastric, spastic, de, greață, afecțiune, Hipersalivație, Paloare, tranzit, intestinal, Meteorism, abdominal, Crampă, acut, cale, respiratoriu, Disfagie, Coriza, febra, iritație, meningean, hipertensiune, intracranian, deshidratare, extracelular, cutanat, deprimare, fontanea, anterior, hipotonie, ocular, oligurie, pulde, filiform, tegument, marmorate/cianotic, reumpler, capilar, hipotensiune, arterial, tulburare, al, conștiență, febră, uremie, Vărsătură, obstrucție, atrezie, esofagian, stenoză, subvaterian, sanghinolent, hematemeză, leziune, ulcerativ"""
Vegetatiile veneriene (Negii genitali),"""mâncărime, Nodulă, nedureros, erupție, leziune, piele, sângerare, uretral, obstrucție, urinar, vagin, cavitate, bucal"""
Vegetațiile adenoide - adenoidita cronică,"""respirație, nazal, deficitar, sindrom, obstructiv, oral, nocturn, nazonat, Facies, retracție, proeminență, maxilar, buză, cutie, toracic, afecțiune, al, urechi, recidivant"""
Ventricul stang unic (cord trilocular),"""insuficiență, cardiace"""
Ventriculita,"""durere, de, cap, tulburare, vorbire, instabilitate, mental, greață, vărsătură"""
Vergeturile,"""Cicatrici, atrofie, epidermic, stri, plat, Verget, piele, coapsă, regiune, lombosacrat, steroid"""
Vertijul paroxistic pozițional benign,"""cap, greață, dificultate, de, mișcare, ocular, involuntar, nistagmus"""
Vertijul pozitional benign,"""vertij, paroxistic, amețeală, mișcare, involuntar, ochi, amețeala, senzație, greață, de, vomă"""
Vertijul," ameteala si dezechilibrul,""Amețeala, Surditate, ușor, senzație, de, cap, intoleranță, la, mișcare, plutire, vivid, episod, vertiginos, boală, ureche, neuropatologie, cardiac, vasculare/cerebral, Diplopie, dublu, central, greață, vertij, Dizartrie, dificultate, vorbire, Disfagie, înghițire, slăbiciune, focal, acut, periferic, Ataxie, tulburare, coordonare, neurologic, Nistagmus, nevrită, vestibular, rezidual, bilateral, autoimun, cefalee, migrenos, Nevrită, optic, scleroză, multiplu, disfuncție, oculomotoriu, Nevralgie, trigeminală, Mielopatie, afectare, măduvă, spinare, vezical, unilateral, precipitata"""
Veruca vulgară,"""leziune, cutanat, benigna, pulpă, degetu, durere, pleoapă, papilomatos, granulomatoză, parakeratoză, strat, perinuclear"""
Verucile genitale (negi genitali," condiloame acuminate),""zonă, genito-anal, Colorație, palid, umflăt, mâncărime, prurit, penis, leziune, pubian, labă, orificiu, vaginal, anorectal, rectal"""
Verucile plane,"""Papulă, piele, gât, braț, picior, Papul, aplatizat, neted, zgâriet, tăietură, Nedureros"""
Vestibulita (Foliculita nazală),"""durere, vestibul, nazal, roșeață, inflamație, înglobare, buză, febră, colecție, purulent, piele, rebel, complicație, de, sinus, cavernos, edem, periorbitar, palpebral, congestie, conjunctival, Exoftalmie, dureros, Paralizie, Ptoză, pleoapă, ocular, cornee, reflex, regiune, sprâncenos, corneean, Hemoragiu, papilar, fund, Turgescenta, venă, retinian"""
Vezica hiperactiva,"""urina, Incontinentă, urinar, urină, Nocturia, vezică, hiperactiv"""
Vezica hipotona,"""golire, durere, retenție, senzație, imperios, de, acut, urină, cronic, Incontinentă, urinar, plenitudine, suprapubiana, vezică, contractilitate, detrusor"""
Vezica neurogena,"""Hiperactivitate, detrusorian, spastic, sfincterian, Micțiune, Incontinență, urinar, vezică, senzație, de, imperios, urina, disinergie, retenție, distensie, Afectare, contractilitate, detrusor, polakiurie, infecție"""
Vezica urinară cu pereți îngroșați,"""muscular, vezică, urinar, durere, cistită, interstițial, sânge, urină, Incontinentă"""
Virilism,"""hirsutism, îngroșare, voce, maturizare, sexual, atrofi, uter, hipertrofie, clitoris"""
Viroza respiratorie la copii,"""congestie, nazală, durere, gât, iritație, respirație, Iritabilita, Amigdău, letargi, muscular, de, cap, Dispnee, Cianoza, colorație, albăstrui, piele, mucoasă, oboseală, pană, Zgomotă, crepitant, subcrepitant, auscultație, ronflant, bronșită"""
Vitiligo,"""alb, amelanotic, piele, leziune, picior, periferic, afectare, mucoasă, buză, genital, gingă, areol, mamelon"""
Volvulus gastric,"""durere, epigastric, sever, greață, vărsătură, tub, nasogastric, gât, braț, volvulus, intratoracic, distensie, gastric, abdominal, sensibilitată, manifestare, ischemie, șoc, hipovolemic, intermitent, cronic, senzație, de, plenitudine, Dispnee, piept, Disfagie, Triada, Borchardt, sondă"""
Volvulusul intestinului subtire,"""durere, colicativ, ocluzie, Meteoris, vărsătură, ansă, localizat, distensie, abdominal, Balonare, discrete, cu, sediu, periombilical, sonoritate, timpanică, renitenta, intoleranță, bilios, cronic, Crampă, Constipație, sânge, Hematemeza, difuza, sever, ischemie, gangrenă, țesut, mucos, febră, necroză, șoc, septic, hemoglobină, venoasă, Acidoză, metabolica, creatinină, seric, lactic, hemoragie, intestinal"""
Volvulusul vezicii biliare,"""durere, drept, stare, de, greață"""
Vorbitul în somn (somnilocvia),"""vorbire, trezire"""
Vulvodinia,"""durere, cronică, vulvă, senzație, de, arsură, Iritație, genital, mâncărime, intermitent, eritem"""
Wheezing-ul recurent la copil,"""Obstrucție, cale, aerian, obstrucție, nazal, infecție, respirator, cronic, Malabsorbție, intestinal, tulburare, electrolitic, rezistență, respirație"""
Xantom veruciform,"""leziune, neobișnuit, mucoasă, oral, scroate, chist, polipă"""
Xantomatoza cerebrotendinoasă,"""cronică, Xantomatoza, tendinoasă, formațiune, tumoral, tendoană, coată, mână, afectare, funcție, cognitiv, Criză, epileptic, depresie, modificare, de, comportament, agitație, muscular, coordonare, voluntar, ataxie, tip, Parkinsonian, Distonie, slăbiciune"""
Xeroderma pigmentosum,"""sensibilitate, arsură, solar, sever, braț, buză, xeroză, Subțiere, țesut, cutana, piele, fotofobie, inflamație, cornee, pleoapă, sclerotică, de, Microcefalie, dobândi, cap, tendon, rigiditate, slăbiciune, dezvoltare, neurologic, dificultate, înghițire, vorbire, pierdere, auditiv, tulburare, cognitiv, progresiv"""
Xeroza conjunctivei,"""xeroză, Ambliopie, crepuscula, conjunctivă, parenchimatos, tulburare, sare, concrețiune, senzație, de, corp, calcare"""
Yersinioza - infectii cu Yersinia,"""autolimitant, septicemie, durere, abdominal, greața, vărsătură, emeză, vomă, Poliartri, artrită, erite, nodos, palpare, Sindrrea, scarlatiformi, sindrom"""
Zona Zoster,"""fatigabilita, adenopatie, regional, durere, sever, erupție, eritematoveziculos, roșu, infiltrativ, leziune, cicatriceal, unilateral, nerv, intens, hiperestezie, sensibilitate, hipertermi, afectare, ramură, nazal, arsură, oculara, pruri, ocular, orbito-frontal, veziculos, canal, auditiv, timpan, ureche, paralizie, facil, Ramsay-Hunt, tulburare, cohleo-vestibular, vizual, vertij, de, greață, vărsătură, perforație, tegumentară"""
Zona zoster oftalmica,"""senzație, de, arsură, pleoapă, cap, durere, intens, Tegument, eritematos, roșu, membrană, conjunctival, Afectare, cornee"""
Zoonozele,"""sânge, Crampă, abdominal, greață, vărsătură, Nodulă, durere, de, cap, oboseală, poftă, mâncare, muscular, usca, Iritație, al, piele, erite, circular, migratoriu, boală, Limfadenopatie, gât, mâncărime, Sângerare, intestinal, inflamație, problemă, vizual, ocular, Roșeața, ochi, confuzie"""
Sindromul de furt subclavicular,"""membru, durere, oboseală, Parestezie, sensibilitate, piele, unghie, ischemie, Diplopie, Nistagmune, pierdere, vedere, pulsatil, Paralizie, facil, Dizartrie, dificultate, de, vorbire, tulburare, al, conștiență, fosă"""
Sindromul de hiperstimulare ovariana,"""balonare, senzatie, de, plenitudine, greață, vărsătură, urină, excesiv, senzație, uscăciune, piele, păr, anurie, durere, toracic, abdominal, oliguria, respiratoriu, ovar, tulburare, al, respirație, ace, letargi"""
Sindromul de hiperventilatie,"""durere, toracica, senzație, de, degetă, parestezie, panică, agitație, anxietate, dispnee, Slăbiciune, Sincopa, precordială, neurologic, Crampă, tetanic, spasm, carpopedal, slăbiciune, generalizate, sufocare, nitroglicerină, confuzie, depersonalizare, halucinație, Parestezie, perioral, presiune, gură, Spasmă, muscular, perete, toracic, Tremuri, Midriaza, Paloare"""
Sindromul de impingement al umărului/subacromial,"""durere, persistent, slăbiciune, rigiditate, articulara, afectare"""
Sindromul de intestin iritabil,"""durere, abdominal, recurent, Constipație, defecație, senzație, de, evacuare, crampă, arsură, înțepătură, distensie, gaz, tract, gastrointestinal, reflux, gastro-esofagian, dispepsie, muscular, articulare, cap, sindrom, oboseală, cronică, tulburare, disfuncție, erectil"""
Sindromul de intestin scurt,"""Malabsorbție, hidro-electrolitic, malnutriție, letargi, Fatigabilitate, oboseală, vitamină, xeroftalmie, ulcerație, cornean, pierdere, vedere, nocturn, D, extremitate, proeminență, parestezie, tetanie, tulburare, vizual, atac, de, ataxie, edem, reflex, osteotendinos, diminua, B1, B6, neuropatie, periferic, criză, epileptic, B12, acid, folic, anemie, megaloblastic, feriprivă, glosi, K, peteșie, echimoz, purpur, diateza, hemoragic, fier, paloare, coilonichie, zinc, stomatită, angular, alopecie, erite, peribucal/perineal/periorbital/perinazal, calciu, magneziu, uscat, Pape, lingual, atrofic, Status, statural, ponderal, linoleic/linolenic, retardare, mental, alopeci"""
Sindromul de joncțiune pielo-ureterală,"""durere, abdominal, greața, vărsătură, infecție, urinar, recurent, hipertensiune, arterial"""
Sindromul de liză tumorală,"""Greț, hipocalcemie, vărsătură, Hiperexcitabilitate, spasmă, tetanie, Criză, epileptic, aritmie, cardiac, hiperfosfatemie, hiperpotasemie, alterare, insuficiență, renal, acut, hiperuricemie, retenție, azotat, Fatigabilitate, Disfuncție, sever, mușchi, slăbiciune, uric, mg/dl"""
Sindromul de lob frontal,"""tulburare, psihic, euforie, psihomotoriu, memorie, sindrom, pseudodemential, epilepsie, criză, adversiv, convulsie, generalizat, focalizat, jacksonian, Pareză, jacksoniană, nerv, facial, de, tip, central, său, cerebelos, lezare, cale, dento-talamo-cortical, membru, controlateral, hipotonie, reflex, pendular, dismetrie, opus, adiadocokinezie, statea, ataxie, frontal"""
Sindromul de lob occipital,"""tulburare, vizual, de, câmp, hemianopsie, homonimă, controlateral, afectare, vedere, macular, deficit, semilună, Cecitate, cortical, orbire, centru, nervos, Anosognozie, leziune, occipital, Agnozie, lob, stâng, sindrom, Balint, bilateral, atenție, ataxie, optic, halucinație, hipertensiune, intracranian, vorbire, parietal, stare, euforie, depresiv, eveniment, manifestare, epileptic, criză, comițial, grand, jacksonian, sfincterian, hipotalamus, Criză, narcoleptic, hemipareză, cerebelos"""
Sindromul de lob parietal,"""Criză, de, epilepsie, senzitivă, epileptic, senzitivo-motor, local, membru, tulburare, sensibilitată, parestezie, hemicorp, controlateral, durere, hipoestezie, leziune, parietal, superficial, al, sensibilitate, termic, profundă, dureros, epicritic, somatognozic, hemipareză, Atrof, muscular, praxic, Apraxie, afectare, emisferă, nedominant"""
Sindromul de lob temporal,"""tulburare, de, vorbire, afazic, permanent, inatenție, verbal, afazie, evocare, psihic, pierdere, atenție, memorie, deficit, al, funcție, cognitiv, labilitate, emoțional, anxietate, interes, iritabilitate, periodic, stare, euforic, depresiv, epileptic, criză, psihosenzorial, halucinație, vizual, leziune, olfactive/gustativ, Criză, convulsiv, tip, Grand, jacksonian, hipertensiune, intracranian, piramidal, glioblastom, hemipareză, pareză, facil, controlateral, sensibilitată, hipoestezie, superficial, oftalmologic, midriază, ipsilateral, hemianopsie, homonim, Afectare, acuitate, compresie, nerv, optic, auz, subiectiv, vestibular, vertij"""
Sindromul de neuron motor periferic,"""deficit, motoriu, slăbiciună, muscular, paralizie, durere, polineuropatie, Afectare, membră, inferior, alcoolic, diabetică, proximal, afectare, generalizat, grup, membru, mușchi, respirator, insuficiență, respiratoriu, Diplegie, brahial, defici, motor, braț, Parapareză, Paralizie, nerv, cranian, reflex, termic, distal, sensibilitate, tegumentă, unghie, rigide/curbat, ulcer, cutanat, nedureros, Parestezie, furnicăt, arsură, Disestezie, tactil, neuropat, junghi, înțepătură, Alodinie, sindrom, picior, Vezic, cutana, herpes, zoster, Cauzalgie, intens, post-traumatic, Ataxie, senzitiv, mișcare, Deformare, osos, articular, pes, cavus, equin, degeta, articulație, Charcot, Anhidroza, hipotensiune, ortostatic, tulburare, pupilar, ochi, gură, impotență, sexual, gastrointestinal, dilatație, aclorhidrie, paralitic, urinar, retenție, de, urină, incontinența, aritmie, sinusal, Fasciculație, Crampă, Spasmă, contract, neliniștit"""
Sindromul de QT lung,"""lipotimie, sincopa, convulsie, inimă, surdita, sindrom, Jervell"""
Sindromul de QT scurt congenital,"""sincopa, fibrilație, ventriculara, moarte, subit, cardiac, atrială, paroxistic, vertij"""
Sindromul de repolarizare precoce,"""Fibrilație, ventricular"""
Sindromul de retractie a pleoapelor,"""palpebral, limb, inferior, Epiforă, secundar, lăcrimare, excesiv, simptom, ochi, usca, fisură, Eroziune, epitelial, disfuncție, glandă, lacrimal, Iritație, oculara, senzație, de, nisip, Fotofobie, vedere, încețoșa"""
Sindromul de rezistență la hormoni androgeni,"""uter, Ginecomastie, pubertar, organ, genital, extern, Atrofie, muscular, spinal, bulbară, boală, Kennedy, testosteron, luteinizant, LH, foliculostimulant, Estrogeni"""
Sindromul de sinus bolnav,"""Bradicardie, Tahicardie, Bradicardie-tahicardie, durere, precordial, stare, de, confuzie, Iritabilita, amnezie, Hipoperfuzie, renal, manifestare, gastrointestinal"""
Sindromul de șa goală,"""durere, de, cap, hipertensiune, arterial, acuitate, vizual, Hemianopsie, bitemporal, hormon, tirotropină, gonadotropină, cerebru, anomalie, Galactoree, hiperprolactinemie, diabet, insipid, cale, hipotalamo-pituitare"""
