Disease,Recommendations
Fibroza deltoidului,"Supraveghere (în cazuri ușoare). Exerciții de întindere (stretching) (eficiență redusă/nulă menționată în text). Terapie fizică (eficiență redusă/nulă menționată în text). Tratament chirurgical: eliberarea benzilor fibroase de contractură. Indicații chirurgicale: contractură în abducție > 25 grade, vârsta > 5 ani, deformare progresivă, modificări osoase asociate (aplatizare cap humeral, modificări acromiale, lărgire articulație AC, scolioză, colabare toracică). Tehnici chirurgicale: incizie anterioară, incizie posterioară (transversă sau longitudinală), eliberare proximală, rezecția benzilor, eliberare distală."
Fibroza endomiocardica,"Terapie chirurgicală prin decorticare endocardică (endocardiectomie). Reparare valvulară mitrală sau tricuspidiană (chirurgical). Înlocuire valvulară (chirurgical, dacă este indicată)."
Fibroza hepatică,"Îndepărtarea agentului cauzator de leziuni hepatice. Renunțarea la consumul de alcool. Scăderea în greutate la pacienții cu steatoză hepatică non-alcoolică. Eliminarea obstrucției biliare. Oprirea oricărui medicament sau supliment care favorizează apariția fibrozei. Transplant hepatic (în stadiile avansate). Limitarea sau evitarea consumului de alcool. Evitarea consumului de droguri. Evaluarea funcției hepatice la intervale regulate de timp. Menținerea unui indice de masă corporală adecvat. Efectuarea de exerciții fizice în mod frecvent. Adoptarea unei diete echilibrate. Consumul de cafea (potențial efect protector, necesită studii suplimentare). Diagnostic prin teste de sânge (indice APRI, scor BARD, scor FIB-4, Hepascore, FibroTest). Diagnostic prin tehnici imagistice non-invazive (Elastografie tranzitorie, Elastografie prin rezonanță magnetică, Elastografie cu unde de forfecare). Diagnostic prin biopsie hepatică (pentru stabilirea cauzei, confirmare diagnostic, stadializare, evaluare răspuns la tratament)."
Fibroza hepatică congenitală,"Transfuzii de sânge (în hemoragii variceale). Administrare de fluide intravenoase. Plasarea de tub nasogastric. Endoscopie digestivă superioară (diagnostică și terapeutică). Scleroterapie endoscopică (pentru varice). Ligaturarea cu bandă elastică endoscopică (pentru varice). Șunt intrahepatic transjugular portosistemic (TIPS). Șunt portosistemic chirurgical (total neselectiv sau selectiv: splenorenal, portocav). Plasarea sondei gastrice Sengstaken-Blakemore (în hemoragii masive necontrolate). Transplant hepatic (în cazuri complicate, refractare sau cu disfuncție hepatică progresivă). Transplant renal (considerat în managementul pe termen lung și alegerea șuntului)."
Fibroza pulmonară,"Renunțarea la fumat. Evitarea expunerii la fumul de țigară sau alte gaze poluante. Întreruperea activității profesionale în mediu toxic, cu praf, pulberi sau umiditate crescută. Evitarea infecțiilor repetate de căi respiratorii superioare. Vaccinare (în cazul infecțiilor repetate). Restricție alimentară hidrosalină (în stadii avansate, pentru a preveni edemele). Evitarea efectuării efortului fizic intens (în cazul bolnavilor cu hipertensiune pulmonară și cord pulmonar cronic). Respectarea orelor de odihnă. Alimentație echilibrată pentru a evita scăderea marcantă în greutate (cașexia). Administrarea oxigenoterapiei (în cazul bolnavilor aflați în stadii avansate de boală, cu sindrom restrictiv sever). Scăderea în greutate (în cazul bolnavilor supraponderali). Transplantul pulmonar (indicat bolnavilor aflați în stadii evolutive teminale, cu vârsta sub 55 de ani, fără coexistența altor afecțiuni cronice)."
Fibroza pulmonară idiopatică,"Oxigenoterapie (pentru hipoxemie). Transplant pulmonar (pentru pacienți selectați, sub 55 ani, cu boală în fază terminală). Managementul comorbidităților (ex: tratamentul bolii de reflux gastroesofagian). Planificarea îngrijirilor din fazele terminale. Suport ventilator (ventilație mecanică) în exacerbări severe (rată mică de succes)."
Fibroza retroperitoneala (boala Ormond),Abord integrat chirurgical și nonchirurgical. Prezervarea funcției renale. Prevenirea altor afectări organice. Excluderea neoplaziei (prin biopsie). Ameliorarea simptomelor. Nefrostomie percutană (temporizare). Stentare ureterală (temporizare sau la pacienți cu risc ridicat/bătrâni). Biopsie (deschisă sau laparoscopică pentru diagnostic). Ureteroliză chirurgicală (deschisă sau laparoscopică). Transpoziția laterală a ureterului afectat. Control prin administrare de lichide și electroliți (în caz de diureză post-obstrucție). Întreruperea tratamentului cu corticosteroizi după 12-24 luni (conform protocol).
Filarioza,Intervenții chirurgicale pentru a elimina viermii restanţi împreună cu calcificările adiacente. Intervenții chirurgicale pentru a manageria acumularea periferică de lichid (edemul restant). Controlul insectelor posibil purtătoare (în zonele cu risc). Observație fără tratament medicamentos pentru pacienții imunocompetenți care nu se mai află în zonele cu risc (boala este autolimitată dacă nu apare reinfecția).
Filarioza Loa-loa,"Consult medical de specialitate în boli infecțioase și/sau boli tropicale. Chimioterapie specifică (DEC, Ivermectină, Albendazol) pentru a reduce numărul de microfilarii și a afecta viermii adulți. Tratament chirurgical pentru extragerea viermilor adulți vizibili (în special oculari), realizat în mediu aseptic și sub anestezie locală. Monitorizarea atentă a reacțiilor adverse, în special reacțiile alergice la DEC și complicațiile neurologice la Ivermectină. Tratament profilactic cu Dietilcarbamazină (300 mg/săptămână) sau Ivermectină (4-6 mg/săptămână) pentru persoanele care călătoresc în zone endemice (sub supraveghere medicală). Protecție individuală împotriva înțepăturilor de muște: utilizarea hainelor cu repelenti. Purtarea hainelor cu mânecă lungă și pantaloni lungi în timpul zilei. Evitarea zonelor cu densitate mare de muște Chrysops (mlăștinoase, locuri cu fum de lemn). Administrarea tratamentului medicamentos post-extracție chirurgicală pentru a elimina microfilariile rămase."
Fimoza si parafimoza,"Tratament conservator (pentru fimoza fiziologică sau patologică necomplicată). Întinderea manuală a preputului (stretching). Dilatarea cu balonașe. Circumcizia (pentru fimoza patologică, parafimoza, balanopostita recurentă). Preputoplastia (alternativă la circumcizie). Desprinderea dorsală (incizie chirurgicală). Parafimoza: Reducere manuală (poate necesita compresie, bandaj elastic, gheață). Parafimoza: Metoda osmotică (aplicare zahăr granulat sau soluție de dextroză pentru reducerea edemului). Parafimoza: Metoda puncției (înțeparea preputului pentru a drena fluidul edematos). Parafimoza: Incizie verticală a benzii constrictoare (dacă reducerea manuală eșuează). Igienă locală adecvată. Recalotarea preputului după fiecare retractare. Parafimoza este o urgență urologică și necesită intervenție imediată."
Fistula arterio-venoasa renala,embolizare selectiva (in cazul celor de dimensiuni mici). nefrectomie partiala sau totala (in cazul compromiterii functionale a rinichiului).
Fistula biliară,"Management conservator. Repaus alimentar. Nutriție parenterală. Drenaj extern (pentru colectarea bilei). Tehnici endoscopice (CPRE cu stentare sau sfincterotomie). Plasarea unei stent în canalul biliar. Sfincterotomie (tăierea sfincterului Oddi). Sclerozarea fistulei (endoscopic). Tehnici radiologice intervenționiste. Colangiografie percutană transhepatică (CPT) cu stentare. Embolizarea (pentru fistula arterio-biliară). Intervenție chirurgicală. Închiderea-desființarea fistulei (sutură directă). Anastomoza bilio-digestivă (conexiune chirurgicală între căi biliare și intestin). Rezecție (îndepărtarea segmentului afectat, ex. tumoră). Cholecistectomie (îndepărtarea vezicii biliare, dacă este asociată). Optimizarea nutrițională. Suplimente nutriționale și vitamine. Monitorizarea simptomelor. Îngrijirea zonelor cu drenaj. Regim alimentar adaptat. Consiliere nutrițională. Evitarea automedicației. Respectarea recomandărilor medicale și controale periodice. Evitarea stresului și a efortului fizic intens. Consiliere psihologică."
Fistula rectală,Intervenție chirurgicală. Fistulotomia. Tehnici chirurgicale complexe în etape (fistulotomie + lambou de coborâre) pentru fistule complexe/recidivante. Adeziv biologic / Dop pentru fistulă.
Fistula recto-vaginală,"Gestionare conservatoare (pentru fistule mici, asimptomatice). Modificări ale stilului de viață. Modificări ale dietei. Exerciții pentru podeaua pelvină. Fistulotomie (procedură chirurgicală). Grefe de țesut (procedură chirurgicală). Lambouri (procedură chirurgicală). Colostomie (procedură chirurgicală, în cazuri severe)."
Fistula traheo-esofagiană,"Tratament chirurgical (pentru fistulele congenitale sau dobândite non-maligne). Amânarea intervenției chirurgicale (în cazuri selectate: nou-născuți cu greutate mică, pneumonie, anomalii severe asociate, adulți în stare severă). Nutriție parenterală (tratament conservator în așteptarea chirurgiei). Alimentație prin gastrostomă (tratament conservator în așteptarea chirurgiei). Intubație endotraheală și ventilație mecanică (în cazul dezvoltării insuficienței respiratorii). Tratament paliativ prin inserarea de stenturi esofagiene (în cazul fistulelor maligne)."
Fistule ureterovaginale si vezicovaginale,Tratament chirurgical. Indepartarea traiectului fistulos. Inchiderea orificiilor vaginal si vezical. Interventia chirurgicala se efectueaza la un interval de cel putin trei luni de la operatia initiala care a cauzat fistula. Reimplantare ureterovezicala (pentru fistule ureterovaginale).
Fistulele digestive,"Intervenție radiologică. Tehnici percutane (drenaj). Plasarea unui stent esofageal și/sau de căi respiratorii (pentru fistula eso-respiratorie). Bypass eso-gastric (paliativ, pentru fistula eso-respiratorie). Gastrostomă sau jejunostomă de alimentație (paliativ). Urmărire post-stentare cu tranzit baritat (pentru fistula eso-respiratorie). Cură chirurgicală: grefarea aortei sau stentare endovasculară și rezecția segmentului intestinal (pentru fistula aorto-duodenală). Tratament conservator: nutriție enterală (tub nazo-jejunal/jejunostomă), drenaj nazo-gastric (pentru fistula pancreatică). Nutriție parenterală totală (în cazuri selectate de fistula pancreatică). Radiologie intervențională: inserare catetere percutane pentru drenaj colecții, angiografie și embolizare pentru hemoragie (pentru fistula pancreatică). Intervenție chirurgicală: lavaj abdominal, repoziționare tub dren, hemostază, suturare dehiscentă, jejunostomă, pancreatectomie completă (în cazuri severe de fistula pancreatică). Profilaxie intraoperatorie fistula pancreatică: adeziv pe anastomoză, ligaturare/ocluzie duct pancreatic, plasare stent în duct pancreatic. Tehnici de reconstrucție pancreatică: anastomoză pancreato-jejunală, anastomoză pancreato-gastrică. Fistulotomie (pentru fistule anale simple/joase). Chiuretaj traiect fistulos (în fistula anală). Biopsie (pentru excludere malignitate/confirmare Boala Chron în fistula anală). Seton (tăiat sau larg, pentru drenaj sau fistulotomie etapizată în fistula anală). Fibrin glue (adeziv cu fibrină, în fistula anală). Dopuri de colagen (proteze biologice, în fistula anală). Lambouri (transanal rectal, din mușchiul gracilis - pentru fistule anale complexe/recto-vaginale/recto-uretrale). Proctectomie (în cazuri severe de fistula anală). Intervenție chirurgicală combinată (pentru fistule anale complexe). Fistulectomie (pentru fistule anale simple). Ecoendoscopie anală (diagnostic și ghidaj terapeutic). Rezonanță magnetică nucleară (RMN - diagnostic fistule anale). Sigmoidoscopie rigidă (diagnostic fistule anale). Fistulografie (diagnostic limitat). Endoscopie digestivă superioară (diagnostic fistula eso-respiratorie). Tranzit baritat (diagnostic fistula eso-respiratorie). Tomografie computerizată (CT) (evaluare extensie boală, complicații, planificare stentare)."
Fisura sau fractura de bazin,Repaus la pat (pentru fracturi stabile). Mobilizare treptată sub supraveghere (pentru fracturi stabile). Fixare externă (pentru fracturi instabile). Utilizarea de lianți pelvieni (pentru fracturi instabile). Fixare chirurgicală cu plăci și șuruburi sau tije (pentru fracturi instabile). Reabilitare. Terapie fizică. Raze X. Tomografie computerizată (CT). Imagistică prin rezonanță magnetică (IRM). Angiografie CT (pentru identificarea surselor de hemoragie).
Fisurile anale,"Prevenirea constipatiei. Cresterea cantitatii de lichide ingerate pe zi. Prevenirea deshidratarii. Cresterea cantitatii de fibre consumate: fructe, legume, cereale. Evitarea cafeinei. Bai calde in fiecare zi (10-20 de minute) pentru a relaxa muschii anali. Igiena zonei anorectale. Evitarea fortarii defecatiei. Folosirea de lubrifianti pentru zona anorectala - unguent cu petroleum. Chirurgie (miotomia sfincterului anal) pentru cazuri severe."
Flatulenta,"Modificarea dietei: identificarea și evitarea alimentelor care provoacă gaze individual (ex: fasole, varză, broccoli, ceapă, alimente bogate în fibre solubile, lactate în caz de intoleranță). Consumul de orez (singura cereală care nu produce gaz). Prepararea adecvată a legumelor boabe (înmuiere prelungită, fierbere adecvată, eventual fermentare). Fierberea îndelungată a unor legume pentru a elimina zaharurile producatoare de gaz. Utilizarea condimentelor carminative: cumin, coriandru, mărar, turmeric, ceai Mexican. Consumul de probiotice (iaurt viu, nefiert, kefir). Reducerea aerofagiei: mâncat încet, mestecat bine alimentele, evitarea vorbitului în timpul mesei, evitarea băuturilor carbogazoase, evitarea gumei de mestecat. Evitarea fumatului. Tehnici de relaxare pentru a reduce anxietatea (care poate contribui la aerofagie). Evitarea întinderii imediat după masă. Mese mai mici și mai frecvente, evitarea supraîncărcării stomacului. Evitarea meselor bogate în grăsimi (încetinesc golirea gastrică). Evitarea uleiurilor și condimentelor greu de digerat. Remediu natural: suc de usturoi și ghimbir amestecat cu apă caldă. Remediu natural: bicarbonat de sodiu cu apă, suc de lămâie și sare. Remediu natural: semințe de fenicul. Remediu natural: semințe de chimen sau ceai de chimen (eventual cu ulei de chimen). Remediu natural: infuzie de scorțișoară. Remediu natural: consum de pătrunjel verde sau ceai de pătrunjel. Consult medical pentru a exclude afecțiuni subiacente (malabsorbție, intoleranțe, infecții, sindrom de intestin iritabil). Dieta eliminatorie (pentru a identifica alimentele problematice)."
Flebita superficială,Comprese calde. Ridicarea membrelor inferioare în timpul perioadelor de odihnă. Ciorapi compresivi / elastici. Stil de viață activ. Evitarea repausului prelungit. Evitarea inactivității prelungite. Intervenție chirurgicală (pentru vene varicoase asociate). Terapie endovenoasă (ablație cu curenți electrici sau laser). Flebectomie ambulatorie (îndepărtarea venelor varicoase). Scleroterapie (injectarea unei soluții iritante). Excizia venei afectate (pentru a preveni recurența).
Basici - Flictene,"Mențineți flictena intactă dacă nu este foarte dureroasă. Acoperiți flictena cu un pansament steril, adeziv (mică) sau poros, care absoarbe umezeala (mare). Spălați zona afectată și mâinile cu apă caldă și săpun. Drenați lichidul cu un ac steril (prin înțepături la margine) doar dacă flictena este mare, dureroasă sau incomodă, păstrând pielea de deasupra. Aplicați un antiseptic (iod, spirt) pe flictenă înainte de drenaj sau dacă s-a spart. Aplicați un unguent cu antibiotic și acoperiți cu pansament steril după drenaj sau spargere. Folosiți pansamente hidrocoloide pentru a facilita vindecarea și a reduce disconfortul. Îndepărtați pielea moartă (debridare) cu instrumente sterile (foarfece) după câteva zile. Consultați medicul dacă apar semne de infecție (puroi, roșeață extinsă, durere crescută). Prevenire: Purtați încălțăminte comodă și șosete curate, adecvate (care reglează umiditatea, speciale pentru sport). Prevenire: Folosiți mănuși de protecție la muncă manuală sau manipularea chimicalelor. Prevenire: Aplicați pudră de talc, lubrifianți sau pansamente protectoare în zonele predispuse la fricțiune. Prevenire: Folosiți cremă cu protecție solară pentru a preveni arsurile solare. Prevenire: Folosirea tălpilor de neopren, a ciorapilor acrilici sau subțiri din poliester."
Fluoroza dentară,"Albirea dinților (în forme ușoare). Microabraziunea smalțului (cu acid special și particule de carborund, în forme ușoare). Fluorizare locală post-microabraziune. Reconstrucția dintelui cu materiale compozite (în forme avansate). Aplicarea de fațete dentare (în forme avansate). Aplicarea de coroane de acoperire (în forme avansate). Obturația (plombarea) defectelor. Profilaxie: Controlul concentrației de fluor din apa potabilă (sub 1mg/l). Profilaxie: Metode de extragere a surplusului de fluor din apa (săruri de aluminiu, fosfat de calciu). Profilaxie: Amestecul apelor din surse diferite. Profilaxie: Sedimentarea sau înghețarea apei. Profilaxie: Alimentația naturală cu lapte matern. Profilaxie: Consum adecvat de Calciu, Vitamina D, Vitamina C (scad absorbția fluorului). Profilaxie: Consum cu precauție al alimentelor bogate în fluor (pește marin/oceanic, grăsimi animale, ficat, varză, spanac). Profilaxie: Supravegherea copiilor pentru a nu înghiți pasta de dinți. Profilaxie: Utilizarea unei cantități mici de pastă de dinți la copii (volumul unui bob de mazăre). Profilaxie: Evitarea zonelor endemice, în special pentru copii (vacanțe)."
Flutter atrial,"Controlul frecvenței ventriculare (cu beta-blocanți, blocanți de calciu, digoxină). Controlul ritmului (restabilirea și menținerea ritmului sinusal). Cardioversie electrică sincronizată. Cardioversie farmacologică (cu amiodaronă, flecainidă, ibutilide, propafenonă, sotalol). Terapie anticoagulantă (cu warfarină sau heparină, în funcție de risc). Terapie antiplachetară (cu aspirină sau clopidogrel, în funcție de risc). Tratarea factorilor de risc cardiovascular și a afecțiunilor de bază. Procedura chirurgicală MAZE (compartimentalizare atrială). Ablație prin cateter (izolarea focarelor ectopice din venele pulmonare, ablație atrială stângă). Ablația nodulului atrioventricular și implantarea unui stimulator cardiac permanent (pentru cazuri refractare). Evaluarea de urgență a căilor respiratorii, administrarea oxigenului, pulsoximetrie. Administrarea de lichide intravenoase (dacă este necesar). Efectuarea de urgență a electrocardiogramei (EKG) și radiografiei toracice. Sedare/anestezie pentru cardioversia electrică."
Fobia sociala,"Psihoterapia de tip comportamental-cognitiv (CBT). Psihoterapie individuala. Psihoterapie de grup. Evaluarea initiala a abilitatilor sociale. Insusirea si exersarea abilitatilor sociale (expresivitate, receptivitate, capacitate de conversatie). Autoevaluarea reactiilor, anxietatii si gandurilor in situatii sociale. Recunoasterea si modificarea gandurilor disfunctionale. Verificarea convingerilor disfunctionale in situatii reale. Strategie de prevenire a recaderilor."
Fobiile specifice,Psihoterapie. Psihoterapie cognitiv-comportamentală (TCC). Terapia prin expunere (expunere progresivă la stimulii fobici). Desensibilizare sistematică (în vivo sau în plan imaginar). Terapie prin realitate virtuală. Asocierea tratamentului farmacologic cu psihoterapia.
Foliculita,"Respectarea normelor de igienă. Incizia și drenarea supurației (tratament chirurgical). Determinarea și eliminarea factorului cauzal. Renunțarea la bărbierit temporar (minim 4 săptămâni în pseudofoliculită). Curățarea pielii cu un burete abraziv (poate ajuta în pseudofoliculită). Revizuirea tehnicii de ras și a dispozitivelor utilizate (în pseudofoliculită, se recomandă lăsarea părului la 1 mm). Aplicarea de pansamente/comprese călduțe în zona afectată (furuncul, carbuncul). Înlocuirea gelului de duș cu un săpun antiseptic (pentru prevenirea furunculului). Utilizarea aparatelor de ras doar după ce au fost bine curățate (prevenire). Schimbarea zilnică a prosopului și buretelui de baie (prevenire). Evitarea purtării hainelor prea strâmte sau a hainelor străine (prevenire). Evitarea scobitului în nas (prevenire). Contraindicarea stoarcerii leziunilor (carbuncul). Adresarea la medic dacă inflamația nu se ameliorează, este localizată pe față/coloană, apar simptome generale sau recidivează (carbuncul)."
Foliculita pruritica de sarcina,UVB cu bandă scurtă. Informarea pacientei că boala se remite spontan după naștere.
Foramen ovale patent,"Monitorizare (dacă este izolat și asimptomatic). Tratament antiagregant sau anticoagulant (pentru prevenirea atacului ischemic cerebral criptogenic). Închidere chirurgicală prin sutură a foramenului (pentru defecte mari, inel tisular inadecvat, eșec percutan). Închidere percutană prin cateterism cardiac (procedură de urgență în embolism paradoxal cu eșec farmacologic sau contraindicații la anticoagulare). Consult neurologic (în caz de evenimente ischemice cerebrale). Evaluarea profilului de coagulare și consult hematologic (dacă se suspectează stare hipercoagulabilă)."
Forma pulmonară de histiocitoză cu celule Langerhans,Oprirea fumatului. Reabilitare respiratorie. Pleurodeză (pentru pneumotorax). Transplant pulmonar (în caz de boală progresivă/insuficiență respiratorie cronică).
Fotosensibilitate indusa de medicamente,Identificarea și evitarea agentului cauzativ (medicament). Utilizarea cremelor de protecție solară cu spectru larg (care blochează UV-A). Ameliorare simptomatică. Aplicarea de comprese reci calmante. Evitarea contactului cu agenții care exacerbează condiția și fotoalergeni (în reactivitatea persistentă la lumină).
Fractura,"Primul ajutor: imobilizarea provizorie a membrului afectat (ex: cu eșarfă, atele improvizate, bandaj). Acoperirea fracturilor deschise cu material curat. Transfuzii de sânge (în caz de pierderi mari de sânge). Reducerea fracturii (repoziționarea fragmentelor osoase în poziție anatomică). Reducere ortopedică (manuală sub tracțiune, instrumentală cu extensie transscheletică). Imobilizarea fracturii. Imobilizare ortopedică (aparat ghipsat circular, atelă ghipsată, rășini, fibră de sticlă). Tracțiune continuă transscheletică (pentru imobilizare). Tratament chirurgical (indicat în eșecul tratamentului ortopedic sau în anumite tipuri de fracturi). Reducere sângerândă (chirurgicală). Osteosinteză (fixare chirurgicală cu șuruburi, plăci, sârmă, tije intramedulare). Fixator extern (pentru fracturi deschise, cominutive sau cu leziuni extinse de părți moi). Recuperare funcțională (începută precoce). Contracții izometrice ale mușchilor imobilizați. Contracții izotonice ale mușchilor ce mișcă segmentele libere. Mobilizare precoce. Kinetoterapie. Hidroterapie (piscină). Ergoterapie. Nutriție adecvată, inclusiv aport de calciu. Evitarea fumatului (nicotina împiedică vindecarea). Diminuarea stresului mecanic asupra osului în curs de vindecare."
Fractura calcaneului,"Tratament ortopedic: imobilizare inițială cu atelă gipsată, apoi cizmă gipsată timp de 10-12 săptămâni (pentru fracturi extraarticulare, nedeplasate/sub2mm deplasare, fracturi proces anterior cu afectare sub25% articulație calcaneocuboidală, pacienți cu comorbidități vasculare/diabet). Mobilizare precoce a articulației (fără sprijin pe picior). Tratament chirurgical: reducere închisă și fixare percutanată cu șuruburi (pentru fracturi extraarticulare cu fragmente voluminoase, fracturi tip „limbă” cu minimă deplasare). Tratament chirurgical: reducere deschisă și fixare internă cu șuruburi sau plăci (pentru fracturi „în limbă” deplasate, fracturi Sanders II/III, fractură apofiză anterioară cu afectare >25% articulație calcaneocubitală, fractură deplasată sustentaculum, micșorare unghi Bohler). Efectuarea intervenției chirurgicale după remiterea edemului și flictenelor (aprox. 10-14 zile), cu excepția fracturilor deschise (tratament imediat). Menținerea membrului afectat într-o poziție ridicată. Imobilizarea membrului afectat. Recuperare medicală."
Fractura claviculei,"Tratament ortopedic (nechirurgical, conservator). Susţinerea membrului superior cu ajutorul unei eşarfe. Imobilizare și reducere cu ajutorul bandajului Watson Jones (bandaj în forma cifrei opt) timp de 4-6 săptămâni. Exerciţii de recuperare. Tratament chirurgical. Reducere deschisă. Fixare internă cu plăci speciale adaptate formei S a claviculei. Fixare internă cu şuruburi. Fixare internă cu broşe. Fixare internă cu tije."
Fractura de cap radial,"imobilizare (atelă, ghips). intervenție chirurgicală pentru reducere și fixare internă (cu șuruburi, plăci sau fire). înlocuirea parțială sau totală a capului radial cu un implant protetic. terapie fizică / kinetoterapie. exerciții de reabilitare."
Fractura de coloană,"Imobilizare cu un corset ortopedic. Imobilizare cu un ghips. Intervenție chirurgicală de stabilizare (cu șuruburi, plăci sau tije). Intervenție chirurgicală de decomprimare spinală. Laminectomie. Discectomie. Corpectomie. Fuziune spinală. Vertebroplastie. Cifoplastie. Reabilitare fizică. Exerciții de întindere și mobilizare. Terapie fizică. Terapie ocupațională."
Fractura de cot,"Atelă pentru imobilizare. Intervenție chirurgicală (pentru fracturi deschise, instabile, deplasate). Repararea chirurgicală a oaselor, vaselor de sânge sau nervilor afectați. Curățarea chirurgicală a plăgii (în fracturi deschise). Tratament non-chirurgical (curea, atelă) pentru fracturi stabile, nedislocate. Terapie fizică (kinetoterapie). Exerciții pentru îmbunătățirea mobilității. Exerciții pentru reducerea gradului de rigiditate. Exerciții pentru consolidarea mușchilor de la nivelul cotului. Evitarea ridicării de obiecte grele, împingerii sau tragerii cu brațul rănit în perioada de recuperare. Prim ajutor: Acoperirea rănii deschise cu un bandaj sau material curat. Prim ajutor: Aplicarea presiunii ferme pe plagă și ridicarea brațului în caz de sângerare. Prim ajutor: Aplicarea unui pachet cu gheață sau a unei comprese reci pe zona umflată. Prim ajutor: Imobilizarea osului rupt. Prim ajutor: Nu încercați să îndreptați osul rupt. Prim ajutor: Nu încercați să împingeți un os rupt înapoi dacă acesta iese din piele."
Fractura de gleznă,"protejarea gleznei lezate. aplicarea locală de gheață. ridicarea piciorului. tratament ortopedic nechirurgical (pentru fracturi stabile): atele gipsate sau orteza tip gheată (imobilizare 4-6 săptămâni). tratament chirurgical (pentru fracturi instabile/cu deplasare): aplicarea de plăci metalice, șuruburi sau broșe și hobanaj (sarma) pentru stabilizare. imobilizare post-chirurgicală în atelă gipsată (4-8 săptămâni). interdicția de a călca pe piciorul lezat (conform indicațiilor medicale, post-imobilizare/chirurgie). recuperare medicală. kinetoterapie (exerciții izometrice, exerciții izotonice, exerciții de reeducare a echilibrului și stabilității). fizioterapie (electroterapie, ultrasunet, termoterapie). masaj (masaj decontracturant, drenaj limfatic). hidrokinetoterapie (kinetoterapia în apă). reluarea treptată a mersului (fără încărcare cu cârje/cadru, apoi cu sprijin și încărcare graduală, în final încărcare totală)."
Fractura de metatarsiene,"Imobilizarea piciorului cu o orteza sau un ghips (pentru fracturi ușoare). Regimul RICE (repaus, gheață, compresie și înălțare). Limitarea utilizării și a mișcării zonei lezate. Aplicarea de pachete cu gheață pe zona lezată pentru intervale scurte de timp. Utilizarea unei benzi elastice sau a unui bandaj compresiv. Ridicarea zonei lezate la o înălțime mai mare decât nivelul inimii. Intervenție chirurgicală (în cazurile severe sau când oasele sunt dislocate). Fizioterapie (pentru a restabili forța, flexibilitatea și funcționalitatea piciorului). Evitarea aplicării unei forțe suplimentare asupra metatarsienelor în faza de repaus."
Fractura de oboseala (fractura de stres),"Diminuarea activității fizice. Imobilizare (ex: ghips scurt, proteză). Repaus fizic (tipic 4-6 săptămâni). Revenire progresivă la activitatea fizică după perioada de repaus. Folosirea protezelor pneumatice (în special pentru fracturile tibiale). Intervenție chirurgicală (pentru fracturile cu risc înalt sau în caz de complicații precum nonuniunea). Profilaxie: Folosirea ortezelor semirigide sau moi biomecanice. Profilaxie: Folosirea inserțiilor de absorbție a șocurilor în încălțăminte. Corectarea factorilor de risc (ex: nutriție adecvată, tehnici de antrenament corecte, biomecanică). Modificarea echipamentului de antrenament sau a metodelor de antrenament, dacă este cazul."
Fractura de odontoidă,"Imobilizare externă (guler cervical, halo vest) - pentru tipul I, III și anumite cazuri de tip II (6-12 săptămâni). Intervenție chirurgicală (fixare cu șuruburi, stabilizare posterioară) - pentru anumite cazuri de tip II (cu risc de neconsolidare, tip IIB, IIC). Fixare externă (sinonim cu imobilizare externă)."
Fractura de penis,"Îngrijire medicală de urgenţă. Chirurgie reparatoare (tratament principal). Repararea rupturilor din tunica albuginea. Înlăturarea cheagurilor de sânge. Suturarea pielii. Implantarea unui cateter urinar temporar. Reatașarea penisului (în caz de amputare, dacă este posibil). Evitarea masturbării agresive (prevenire). Evitarea poziţiilor sexuale riscante (prevenire). Evitarea jucăriilor sexuale de tipul inelelor pentru penis (prevenire). Evitarea aplicării presiunii excesive pe penisul erect (prevenire). Cavernosografie (diagnostic). Uretroscopie (diagnostic, dacă se suspectează leziune uretrală)."
Fractura de peroneu,"Imobilizarea piciorului afectat (cu ghips sau orteză pentru fracturi stabile). Intervenție chirurgicală (pentru fracturi grave, deplasate sau cu leziuni suplimentare, folosind șuruburi, plăci, tije). Fizioterapie / Terapie fizică (pentru recâștigarea mobilității, forței musculare și funcției piciorului). Aplicarea de gheață (pentru reducerea umflăturii și durerii, înainte de consult medical). Ridicarea piciorului afectat (pentru a reduce umflarea). Evitarea mișcării piciorului afectat și a susținerii greutății pe acesta (înainte de consult medical). Folosirea cârjelor pentru deplasare. Respectarea limitărilor de greutate indicate de medic. Alimentație sănătoasă și hidratare corespunzătoare. Monitorizarea zonei operației pentru semne de infecție. Respectarea instrucțiunilor medicale și a programului de recuperare."
Fractura de stern,"Investigarea conform protocoalelor de traumatism (eliberarea căilor aeriene, verificarea respirației, verificarea pulsului). Identificarea și tratarea rapidă a altor leziuni amenințătoare de viață. Internare (pentru pacienții cu leziuni toracice asociate, instabilitate hemodinamică, vârstnici). Monitorizarea funcției cardiace (Electrocardiogramă, enzime cardiace, ecocardiografie). Monitorizarea concentrației oxigenului în sângele periferic. Efectuarea unor exerciții de respirație profundă (pentru fracturile izolate). Intervenție chirurgicală (în cazul fracturilor instabile sau deplasate). Fixarea sternului cu ajutorul unor fire. Osteosinteză folosind plăci și șuruburi."
